                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     25,               0.027228,                0.02729,              0.0090978,                      0,                0.78355,                0.67163,                0.76312,                0.46105,                 0.8182,                0.69394,                0.78876,                0.43302,               0.026476,               0.021847,               0.007375,                      0,              0.0009208,              0.0009208,              0.0009208
                     26,               0.027876,               0.026907,              0.0090978,                      0,                0.77068,                0.70357,                0.76409,                0.50376,                0.78369,                0.71413,                0.77927,                0.46457,               0.025853,               0.021081,              0.0069037,                      0,              0.0009175,              0.0009175,              0.0009175
                     27,                0.02759,               0.027318,              0.0089505,                      0,                0.76782,                0.65014,                0.72472,                0.45859,                0.79314,                0.65994,                0.74288,                0.42157,               0.028378,               0.022271,              0.0078463,                      0,              0.0009142,              0.0009142,              0.0009142
                     28,               0.028335,               0.026921,               0.009254,                      0,                0.75776,                0.68147,                0.73136,                0.46456,                0.76395,                0.69075,                0.73556,                0.42087,               0.026287,               0.022153,              0.0072864,                      0,              0.0009109,              0.0009109,              0.0009109
                     29,               0.027433,                0.02715,              0.0088542,                      0,                0.78658,                0.70244,                0.77716,                0.49874,                0.80701,                0.71988,                0.79358,                 0.4616,               0.026262,               0.021118,              0.0071541,                      0,              0.0009076,              0.0009076,              0.0009076
                     30,               0.027641,               0.027061,              0.0089412,                      0,                0.80804,                0.69339,                0.77688,                0.50081,                 0.8283,                0.70882,                0.79275,                0.46327,               0.025116,               0.021372,              0.0074994,                      0,              0.0009043,              0.0009043,              0.0009043
                     31,               0.027852,               0.026843,               0.009028,                      0,                0.79952,                0.68231,                0.77099,                0.50047,                0.81538,                0.70457,                0.78816,                0.45804,               0.026106,               0.021353,              0.0072728,                      0,               0.000901,               0.000901,               0.000901
                     32,                 0.0275,               0.026825,              0.0088283,                      0,                0.76688,                 0.7067,                0.77114,                0.48865,                0.79442,                0.69813,                0.78629,                0.46503,               0.026178,               0.021163,              0.0071024,                      0,              0.0008977,              0.0008977,              0.0008977
                     33,               0.027149,               0.026835,              0.0089382,                      0,                0.77124,                0.70032,                0.76074,                0.49154,                0.80563,                0.70916,                0.76621,                0.45346,               0.025677,               0.021157,              0.0068393,                      0,              0.0008944,              0.0008944,              0.0008944
                     34,                0.02679,               0.026863,              0.0086758,                      0,                0.79073,                0.68013,                 0.7651,                0.49888,                0.76718,                0.71088,                0.78053,                0.46501,               0.026401,               0.021448,              0.0069239,                      0,              0.0008911,              0.0008911,              0.0008911
                     35,               0.027099,               0.026652,              0.0089258,                      0,                0.78016,                0.74814,                0.77952,                0.50735,                0.79065,                0.73858,                0.79064,                0.47004,               0.024678,               0.021418,              0.0070624,                      0,              0.0008878,              0.0008878,              0.0008878
                     36,               0.026325,               0.026786,              0.0086696,                      0,                0.80062,                0.71838,                0.78352,                0.51115,                0.81786,                0.72054,                0.78271,                0.47174,                0.02545,               0.021371,              0.0067716,                      0,              0.0008845,              0.0008845,              0.0008845
                     37,               0.026897,               0.026689,              0.0087849,                      0,                 0.8126,                0.72582,                 0.7987,                0.51764,                 0.8298,                0.73055,                0.80855,                0.47704,               0.025276,               0.021118,              0.0068142,                      0,              0.0008812,              0.0008812,              0.0008812
                     38,               0.026756,               0.026479,              0.0088561,                      0,                0.77107,                0.70515,                0.77374,                0.50154,                 0.7989,                0.71413,                0.78564,                0.47061,               0.025236,               0.021602,              0.0070242,                      0,              0.0008779,              0.0008779,              0.0008779
                     39,               0.026522,               0.026795,              0.0087689,                      0,                0.77268,                0.67906,                0.74987,                0.49386,                0.79928,                0.70244,                0.77141,                0.45174,               0.025072,               0.021346,              0.0073112,                      0,              0.0008746,              0.0008746,              0.0008746
                     40,               0.026214,               0.026357,              0.0085201,                      0,                0.80732,                0.69463,                0.78974,                0.51838,                0.83844,                0.70882,                0.79811,                0.47527,               0.025567,               0.021647,              0.0067952,                      0,              0.0008713,              0.0008713,              0.0008713
                     41,               0.026325,               0.026748,              0.0085891,                      0,                0.80452,                0.69819,                0.78102,                0.52664,                0.83317,                0.70588,                0.79274,                 0.4801,               0.025077,               0.021099,              0.0066747,                      0,               0.000868,               0.000868,               0.000868
                     42,               0.026471,               0.026585,              0.0087512,                      0,                0.82579,                 0.7237,                0.81078,                0.52825,                0.83529,                0.73293,                0.81424,                0.48455,               0.024688,                0.02101,               0.006741,                      0,              0.0008647,              0.0008647,              0.0008647
                     43,               0.026039,               0.026172,              0.0085665,                      0,                  0.795,                0.71732,                0.79576,                0.52802,                0.82114,                0.72901,                0.80948,                0.47912,               0.023716,               0.021669,              0.0067852,                      0,              0.0008614,              0.0008614,              0.0008614
                     44,               0.026125,               0.026439,              0.0085398,                      0,                0.82608,                0.69152,                0.79657,                0.52066,                0.84512,                0.70746,                0.80347,                0.48304,               0.024525,               0.020786,              0.0067245,                      0,              0.0008581,              0.0008581,              0.0008581
                     45,               0.025877,                0.02615,              0.0084771,                      0,                0.75428,                0.72582,                0.78658,                0.51908,                0.77684,                0.73645,                0.79475,                0.47496,               0.024607,               0.020904,              0.0070399,                      0,              0.0008548,              0.0008548,              0.0008548
                     46,               0.025915,               0.026215,              0.0085289,                      0,                0.76468,                0.74246,                0.79711,                0.53364,                0.81209,                0.72901,                0.81122,                0.49358,               0.024721,               0.020486,              0.0067784,                      0,              0.0008515,              0.0008515,              0.0008515
                     47,               0.025812,               0.026023,              0.0084608,                      0,                0.81261,                0.73326,                0.79413,                0.53205,                0.82373,                0.74389,                 0.8084,                0.48166,               0.023976,               0.021154,              0.0067382,                      0,              0.0008482,              0.0008482,              0.0008482
                     48,                0.02555,               0.026293,              0.0085425,                      0,                0.78076,                0.71307,                0.78401,                0.52613,                0.80544,                0.72795,                0.79852,                0.47217,               0.023914,               0.021107,              0.0068362,                      0,              0.0008449,              0.0008449,              0.0008449
                     49,               0.025899,               0.026174,              0.0085793,                      0,                0.79659,                0.73645,                0.80536,                0.54274,                0.81899,                0.73564,                0.81246,                0.49133,               0.023733,               0.021087,              0.0066503,                      0,              0.0008416,              0.0008416,              0.0008416
                     50,               0.025846,                0.02597,              0.0085373,                      0,                0.79822,                0.71945,                0.80159,                0.54479,                0.80883,                0.72901,                0.80894,                0.49249,               0.024017,               0.021223,              0.0065296,                      0,              0.0008383,              0.0008383,              0.0008383
                     51,               0.025837,               0.025981,              0.0084324,                      0,                0.81292,                0.72157,                0.80032,                 0.5283,                0.84376,                0.71736,                0.80553,                0.48486,               0.024614,               0.021425,              0.0067538,                      0,               0.000835,               0.000835,               0.000835
